Company,Business Category,Main Sport Focus,Year Founded,Financials,Ownership Status,Ownership Details,Parent Company,Headquarters,Main Manufacturing,Environmental & Sustainability Policies,Acquisition History
Mervin Manufacturing (Lib Tech & GNU),Equipment,Snowboarding,1977,"Mervin Manufacturing, the producer of Lib Tech and GNU snowboards, was acquired by Altamont Capital Partners in 2013 for $51.5 million, with reported revenues of $32 million at that time. ([shop-eat-surf-outdoor.com](https://shop-eat-surf-outdoor.com/news/2013-10-mervin-sale-price-disclosed/28391/)) As of June 2025, the company's annual revenue is estimated at $35 million. ([leadiq.com](https://leadiq.com/c/mervin-manufacturing--bent-metal--lib-tech--gnu/5a1d865f240000240060a52e))",Private,owned by Altamont Capital Partners since 2013 and sold for ~$51M,Altamont Capital Partners,"Carlsborg, Washington, USA​mervin.com",USA (Washington State – “world’s most environMENTAL factory”)​mervin.com,"Builds snowboards domestically with eco-friendly processes – powered by renewable energy and using non-toxic, recycled materials; factory has a reputation as the “world’s most environMENTAL board factory”​mervin.com
. Produces some surf and skate products to ECOBOARD Project standards (Gold Level ECOBOARD certified surfboards using plant-based resin and recycled foam)​cisurfboards.com
.",Was acquired by Quiksilver in 1997​; spun out via management buyout and sold to Altamont Capital in 2013​. (Lib Tech and GNU remain its in-house brands.)
Channel Islands Surfboards,Equipment,Surfing,1969,"Channel Islands Surfboards, headquartered in Carpinteria, California, is a privately held company with estimated annual revenues ranging from $10 million to $15 million and approximately 48 to 60 employees. ([compworth.com](https://compworth.com/company/channel-islands-surfboards), [growjo.com](https://growjo.com/company/Channel_Islands_Surfboards))",Private - Employee-Owned,founder Al Merrick’s family and team riders bought out Burton’s stake in 2020,Independent,"Carpinteria, California, USA​shop-eat-surf-outdoor.com","Carpinteria, CA (hand-shaped and machine-shaped surfboard factory)​shop-eat-surf-outdoor.com","Implements sustainable board building practices: offers surfboards that meet the ECOBOARD Project benchmarks (using recycled foam cores and plant-based resins); the Santa Barbara factory was audited to produce Gold Level ECOBOARDS​cisurfboards.com
. Also engages in local beach and ocean conservation efforts.","Founded by Al Merrick; acquired by Burton Snowboards in 2006 to scale up production​shop-eat-surf-outdoor.com
; sold back to Channel Islands Surfboards LLC (Britt Merrick and employees) in 2020​shop-eat-surf-outdoor.com
."
O’Neill,"Apparel, Accessories",Surfing,1952,"O'Neill Wetsuits, LLC, headquartered in Santa Cruz, California, was founded in 1952 and is estimated to generate annual revenues between $11.2 million and $24 million, employing approximately 70 to 200 people. ([buzzfile.com](https://www.buzzfile.com/business/O%21Neill-Wetsuits-831-475-7500), [growjo.com](https://growjo.com/company/O%27NEILL_WETSUITS)) The broader O'Neill brand, encompassing apparel and other products, reports annual revenues of $343 million with a workforce of around 700 employees. ([surfd.com](https://surfd.com/2021/03/company-profile-oneill/))",Private,family-founded; O’Neill wetsuit business remains family-owned in Santa Cruz; O’Neill surf apparel brand is owned by Luxembourg-based Sisco Textiles since 2007,Sisco Textiles N.V.,"Santa Cruz, California, USA (wetsuit division)​en.wikipedia.org; Global HQ for apparel in Luxembourg​en.wikipedia.org","Wetsuit production in Asia (e.g. Thailand, Vietnam); apparel outsourced globally","Launched the O’Neill Blue sustainable collection – products with at least 50% preferred sustainable materials (e.g. recycled poly, organic cotton)​eu.oneill.com
. Committed to sourcing 100% sustainable cotton and polyester by 2025​eu.oneill.com
; active in ocean conservation (Jack O’Neill’s Sea Odyssey marine education program).","Jack O’Neill opened the world’s first surf shop and pioneered neoprene wetsuits in 1952​en.wikipedia.org
. In 2007, the O’Neill brand (surfwear) was sold to Sisco Textiles​en.wikipedia.org
, while the O’Neill family retained the wetsuit and North America license operations. No major acquisitions by O’Neill itself."
Trek Bicycle Corporation,Equipment,Cycling,1975,">$1 B annual revenue (est.)
​fortune.com",Private - family owned,family-owned by the Burke family,Independent,"Waterloo, Wisconsin, USA​en.wikipedia.org","Predominantly Asia (most bikes made in Taiwan/China)​en.wikipedia.org
; some assembly in USA","Publishes an annual Trek Sustainability Report tracking progress​trekbikes.com
; committed to science-based climate targets (cut Scope 1+2 GHG 68% and Scope 3 by 30% by 2032)​trekbikes.com
; sourcing 100% renewable electricity by 2030​trekbikes.com
; launched bike tire and tube recycling programs at dealers​trekbikes.com
; increasing use of recycled materials in bikes and gear (e.g. recycled plastics in components)​trekbikes.com
.","Grew into one of the world’s largest bike makers through acquisitions: absorbed Gary Fisher Mountain Bikes in 1993​en.wikipedia.org
; acquired Bontrager components (mid-1990s)​en.wikipedia.org
; Klein Bikes (1995)​en.wikipedia.org
; Electra Bicycle Co. (2014). Also launched in-house brands (Diamant, Villiger in Europe in 2003)​en.wikipedia.org
."
Specialized Bicycle Components,Equipment,Cycling,1974​,est. ~$1 B revenue,Private - Founder and Manufaturer Owned,"majority-owned by founder Mike Sinyard; ~49% stake owned by Merida, a Taiwan bike manufacturer, since 2001",Independent,"Morgan Hill, California, USA​en.wikipedia.org",Asia (frames and bikes produced by manufacturing partner Merida in Taiwan; global suppliers),"In 2021 Specialized appointed a dedicated sustainability team and set company-wide emissions goals. It is operationalizing sustainability by embedding it into product design and employee goals​peopleforbikes.org
 – e.g. every product team uses tools to assess and reduce environmental impact​peopleforbikes.org
. The brand has increased use of renewable energy and recycled materials in products, and supports cycling advocacy as environmental action.","Sold a minority stake to Merida in 2001 (strengthening its manufacturing and global reach)​en.wikipedia.org
. Has acquired smaller tech firms (e.g. Retül bike-fit systems) to bolster product offerings, but remains independent in brand."
Santa Cruz Bicycles,Equipment,"Santa Cruz Bicycles primarily focuses on manufacturing high-quality mountain bikes, with a particular emphasis on full-suspension models designed for various off-road disciplines. ([santacruzbicycles.com](https://www.santacruzbicycles.com/pages/who-we-are))",1993,"Santa Cruz Bicycles, founded in 1993 and headquartered in Santa Cruz, California, is a subsidiary of Pon Holdings. Estimates of its annual revenue vary, with figures ranging from $47.2 million to $100 million, and the company employs between 238 and 300+ staff members. ([datanyze.com](https://www.datanyze.com/companies/santa-cruz-bicycles/89588649), [cience.com](https://www.cience.com/company/santa-cruz-bicycles/-6744122835382025774))",Private,Subsidiary of Pon Holdings (Dutch conglomerate) since 2015,Pon Holdings,"Santa Cruz, California, USA​bicycleretailer.com",Asia (carbon frames built in Taiwan; bike assembly and R&D in California),"Implementing greener packaging and materials: moved to sustainable packaging for bikes (reducing foam and single-use plastics)​santacruzbicycles.com
. Has a carbon fiber recycling program (collects damaged carbon bike frames to recycle into new material instead of landfills). Parent company Pon also has corporate sustainability initiatives across its bike brands (aiming to reduce emissions and encourage cycling for transportation).","Founded by Rob Roskopp (pro skateboarder) and partners in 1993. Remained independent until Pon Holdings acquired it in 2015​bicycleretailer.com
 (joined a family of brands including Cervélo and Gazelle). Santa Cruz also launched the Juliana women’s MTB brand (2013). No major acquisitions made by Santa Cruz itself."
Salomon,Equipment,"Skiing, Hiking, Trail Running",1947,€900 million revenue (2020),Subsidiary of Amer Sports (owned by Anta Sports),"Salomon, a French sports equipment manufacturer specializing in skiing, hiking, and trail running gear, is owned by Amer Sports, a Finnish sporting goods company. Amer Sports' ownership is distributed among Anta Sports (44.5%), Chip Wilson (16.3%), FountainVest Partners (12.7%), and Tencent (4.5%). ([en.wikipedia.org](https://en.wikipedia.org/wiki/Amer_Sports))",Amer Sports,"Épagny-Metz-Tessy, France",Global,Committed to reducing environmental impact; member of the Sustainable Apparel Coalition,"Acquired by Adidas (1997), sold to Amer Sports (2005)"
Norrøna,Apparel,"Hiking, Skiing, Snowboarding",1929,Not publicly disclosed,Family-owned,"Norrøna is a family-owned Norwegian company specializing in outdoor clothing and sports gear, founded in 1929 by Jørgen Jørgensen. As of 2024, it is led by his great-grandson, Jørgen Jørgensen, maintaining its status as a family-run business. ([outdoorindustry.org](https://outdoorindustry.org/press-release/norrona-announces-new-membership-with-non-profit-fair-wear-foundation/))",Independent,"Lysaker, Norway",Europe and Asia,Focus on sustainable materials and ethical production; offers repair services,No major acquisitions
Mountain Warehouse,"Mountain Warehouse is a British outdoor retailer specializing in equipment and clothing for activities such as hiking, camping, and skiing. ([en.wikipedia.org](https://en.wikipedia.org/wiki/Mountain_Warehouse))","Hiking, Camping, Skiing",1997,Not publicly disclosed,Private,"As of July 2018, Mountain Warehouse was privately owned, with founder and CEO Mark Neale holding approximately 85% of the company, and the remaining shares owned by other members of the management team. ([cityam.com](https://www.cityam.com/outdoor-retailer-mountain-warehouse-eyes-200m-ipo-after-hiring-rothschild/)) In July 2018, Inflexion Private Equity Partners acquired a near 20% minority stake in the company for approximately £45 million. ([inflexion.com](https://www.inflexion.com/news-and-insights/news/2018/inflexion-completes-a-partnership-capital-investment-in-mountain-warehouse/))",Independent,"London, United Kingdom",Asia,Introduced sustainable product lines; committed to reducing environmental footprint,Acquired Eastern Mountain Sports (2024)
Mammut Sports Group,"Mammut Sports Group is a Swiss manufacturer specializing in clothing and equipment for alpine sports, including climbing, hiking, and skiing. ([en.wikipedia.org](https://en.wikipedia.org/wiki/Mammut_Sports_Group))","Climbing, Hiking, Skiing",1862,CHF 253.4 million revenue (2018),Owned by Telemos Capital,"Mammut Sports Group AG, a Swiss manufacturer of outdoor equipment, was acquired by the London-based private equity firm Telemos Capital in April 2021. ([snowindustrynews.com](https://www.snowindustrynews.com/articles/2021/april/conzzeta-announces-acquisition-of-mammut-by-telemos-capital/)) Prior to this, Mammut was owned by the Swiss conglomerate Conzzeta since 1982. ([oicompass.com](https://www.oicompass.com/corporate-and-manda/conzzeta-is-divesting-mammut/70972.article))",Telemos Capital,"Seon, Switzerland",Europe and Asia,Member of the Fair Wear Foundation; aims to eliminate harmful substances by 2025,Acquired by Telemos Capital (2021)
Rossignol,Equipment,"Skiing, Snowboarding",1907,Not publicly disclosed,Owned by Altor Equity Partners,"As of July 2013, Rossignol was majority-owned by Altor Equity Partners, a Swedish investment group, holding 80% of the company, with the remaining 20% owned by private investors, including the Boix-Vives family. ([altor.com](https://altor.com/altor-to-acquire-rossignol-group)) In June 2021, Rossignol was acquired by BNP Paribas Développement and UI Gestion SA. ([mergr.com](https://mergr.com/company/rossignol-sa))",BNP Paribas Développement and UI Gestion SA,"Saint-Jean-de-Moirans, France","France, Spain, and Asia",Focus on eco-design and sustainable development,Acquired by Altor (2013)
Head,Equipment,"Skiing, Snowboarding, Tennis",1950,Not publicly disclosed,Publicly traded,"Head Sport GmbH, founded in 1950 by Howard Head, is currently owned by HTM Sport GmbH, which is based in Austria. HTM Sport GmbH is owned by Swedish/British billionaire Johan Eliasch. ([bicycleretailer.com](https://www.bicycleretailer.com/industry-news/2019/01/17/sources-head-bike-czech-republic-company-has-purchased-ase-assets))",Head Sport GmbH is owned by Head Austria GmbH. ([en.wikipedia.org](https://en.wikipedia.org/wiki/Head_%28company%29)),"Kennelbach, Austria",Europe and Asia,Implements sustainable practices in production,Merged with HTM (1989)
Giant,Equipment,Cycling,1972,Not publicly disclosed,Publicly traded,"Giant Manufacturing Co. Ltd., commonly known as Giant, is a publicly traded company listed on the Taiwan Stock Exchange under the ticker symbol 9921. ([giantgroup-cycling.com](https://www.giantgroup-cycling.com/en/ir-financial)) Founded in 1972 by King Liu in Dajia, Taichung, Taiwan, Giant is recognized as the world's largest bicycle manufacturer. ([en.wikipedia.org](https://en.wikipedia.org/wiki/Giant_Bicycles))",Independent,"Taichung, Taiwan","Taiwan, China, Netherlands",Focus on green manufacturing and reducing carbon footprint,No major acquisitions
Rocky Mountain,Equipment,Cycling,1981,Not publicly disclosed,Private,"In May 2025, Rocky Mountain Bicycles was acquired by Chaos Sports Inc., a group of four Canadian entrepreneurs: Jonathan Bourgeois, Christian Thibert, Patrick St-Denis, and Jean-François Grenache. ([bicycleretailer.com](https://www.bicycleretailer.com/international/2025/05/09/rocky-mountain-announces-new-owners))",Chaos Sports Inc.,"Vancouver, Canada",Canada and Taiwan,Committed to environmental stewardship,No major acquisitions
Cannondale,Equipment,Cycling,1971,Not publicly disclosed,Subsidiary of Pon Holdings,"As of January 2022, Cannondale is owned by Pon Holdings, a Dutch conglomerate that acquired Dorel Sports, including Cannondale, for $810 million. ([tri-today.com](https://tri-today.com/2022/01/cannondale-acquired-by-dutch-pon-for-810-million-dollar/))",Pon Holdings,"Wilton, Connecticut, USA",Taiwan and Vietnam,Focus on sustainable manufacturing processes,Acquired by Pon Holdings (2021)
Norco,Equipment,Cycling,1964,Not publicly disclosed,Private,"As of July 1, 2024, the Lewis family, descendants of Norco Bicycles founder Bert Lewis, assumed full ownership of Live to Play Sports Group Inc., the parent company of Norco Bicycles. ([outdoorindustry.org](https://outdoorindustry.org/press-release/family-of-norco-bicycles-founder-bert-lewis-assumes-ownership-of-company/))",Live to Play Sports Group Inc.,"Port Coquitlam, Canada",Canada and Asia,Emphasizes sustainable practices and community involvement,No major acquisitions
Rip Curl,"Equipment, Apparel",Surfing,1969,Not publicly disclosed,Owned by Kathmandu Holdings,"In October 2019, New Zealand-based Kathmandu Holdings acquired 100% of Australian surf brand Rip Curl for A$350 million. In March 2022, Kathmandu Holdings rebranded itself as KMD Brands, making Rip Curl a subsidiary of KMD Brands. ([en.wikipedia.org](https://en.wikipedia.org/wiki/KMD_Brands))",KMD Brands,"Torquay, Australia",Australia and Asia,Focus on sustainable products and environmental initiatives,Acquired by Kathmandu Holdings (2019)
Transition Bikes,Equipment,Cycling,2001,Not publicly disclosed,Independent,"Transition Bikes is co-owned by Kevin Menard and Kyle Young, who founded the company in 2001. ([bikerumor.com](https://bikerumor.com/how-to-break-into-the-cycling-industry-transition-bikes-kevin-menard/)) Menard serves as the Sales and Marketing Director, while Young holds the position of Owner. ([dnb.com](https://www.dnb.com/business-directory/company-profiles.transition_bike_co.6c9e00a0136b9276bf5d34fe3123713e.html))",Independent,"Bellingham, Washington, USA",Taiwan,Emphasizes sustainable practices; partners with local trail organizations,No major acquisitions
Commencal,Equipment,Cycling,2000,Not publicly disclosed,Independent,"Commencal Bicycles was founded in 2000 by Max Commencal in Andorra, where he serves as the majority shareholder and CEO. ([dirtmountainbike.com](https://dirtmountainbike.com/features/endtroducing-max-commencal)) The company is privately held under COMESPORT SA. ([ad.linkedin.com](https://ad.linkedin.com/company/commencal))",Independent,Andorra,Taiwan,Focus on environmental responsibility; offers eco-friendly bike models,No major acquisitions
Fox Racing,Equipment,Cycling,1974,Not publicly disclosed,Acquired by Vista Outdoor in 2022,"In August 2022, Vista Outdoor Inc. acquired Fox Racing, a company specializing in motocross and mountain biking gear, for $540 million, with an additional potential earnout of $50 million based on financial performance. ([prnewswire.com](https://www.prnewswire.com/news-releases/vista-outdoor-announces-closing-of-the-acquisition-of-fox-racing-301601121.html))",Vista Outdoor,"Irvine, California, USA",Global,Implements sustainable practices in product development,Acquired by Vista Outdoor (2022)
YT Industries,Equipment,Cycling,2006,Not publicly disclosed,Majority stake owned by Ardian since 2021,"In August 2021, private equity firm Ardian acquired a majority stake in YT Industries, with founders Markus Flossmann and Jacob Fatih retaining minority ownership. ([private-equitynews.com](https://www.private-equitynews.com/news/leading-mountain-bike-brand-yt-industries-partners-with-ardian-to-support-growth-strategy/))",Ardian,"Hausen, Germany",Taiwan,Committed to sustainability; uses eco-friendly materials,Ardian acquired majority stake (2021)
Ellsworth Handcrafted Bicycles,Equipment,Cycling,1991,Not publicly disclosed,Independent,"As of December 8, 2021, Ellsworth Handcrafted Bicycles is owned by RP Designs, Inc., a company specializing in innovative cycling products. ([prnewswire.com](https://www.prnewswire.com/news-releases/rp-designs-inc-completes-acquisition-of-ellsworth-cycling-llc-301440446.html))",RP Designs,"Vancouver, Washington, USA",USA,Focus on sustainable manufacturing; offers lifetime warranty on frames,Multiple ownership changes; currently independent
Brodie Bicycles,Equipment,Cycling,1986,Not publicly disclosed,Independent,"Paul Brodie founded Brodie Bicycles in 1986 and sold the company to their longtime distributor, CyberSport Ltd., in 2001. ([en.wikipedia.org](https://en.wikipedia.org/wiki/Brodie_Bicycles)) As of 2025, Brodie Bicycles operates as a small, locally owned business based in Burnaby, British Columbia, Canada. ([truenorthbusinesses.ca](https://truenorthbusinesses.ca/brands/brodie-bicycles/))",CyberSport Ltd.,"Vancouver, Canada",Taiwan,Emphasizes quality and durability to reduce waste,No major acquisitions
Whyte Bikes,Equipment,Cycling,1999,Not publicly disclosed,Independent,"In March 2021, Cairngorm Capital Partners LLP invested in Whyte Bikes Limited, a British bicycle manufacturer. ([cairngormcapital.com](https://www.cairngormcapital.com/cairngorm-capital-investment-to-accelerate-growth-for-whyte-bikes/)) The specific ownership stake acquired by Cairngorm Capital has not been publicly disclosed.",Cairngorm Capital Partners LLP,"Hastings, East Sussex, UK",Taiwan,Focus on sustainable design; uses recyclable packaging,No major acquisitions
Turner Suspension Bicycles,Equipment,Cycling,1994,Not publicly disclosed,Independent,"Turner Suspension Bicycles, Inc., founded in 1994 by former professional mountain bike rider David Turner, remains privately owned by him. ([en.wikipedia.org](https://en.wikipedia.org/wiki/Turner_Suspension_Bicycles))",Independent,"Murrieta, California, USA",USA,Committed to environmental responsibility; offers frame recycling program,No major acquisitions
ThruDark,Apparel,Outdoor Clothing,2018,£16 million .Est 2023,Independent,"ThruDark Limited is a privately held company founded in 2016 by former UK Special Forces operatives Anthony ""Staz"" Stazicker and Louis Tinsley. As of the latest available information, the company's ownership includes Anthony Stazicker and Louis Tinsley, each holding 500 ordinary shares, Steve Clark with 340 ordinary A shares, Christopher Reynolds with 60 ordinary A shares, and Natasha Clark with 100 ordinary A shares. ([uk.globaldatabase.com](https://uk.globaldatabase.com/company/thrudark-limited))",Independent,"Poole, Dorset, UK","Italy, Vietnam, Eastern Europe","Utilizes durable, high-performance materials; committed to sustainability",No major acquisitions
Finisterre,Apparel,Surfing,2003,Not publicly disclosed,Independent,"Finisterre is a privately held company founded in 2003 by Tom Kay, who continues to serve as a board member. In 2022, the company raised £4.6 million through a crowdfunding campaign led by Active Partners, which holds a minority stake. ([theindustry.fashion](https://www.theindustry.fashion/surfing-brand-finisterre-raises-4-6m-in-second-crowdfunding-campaign/))",Fitzroy Apparel Limited,"St Agnes, Cornwall, UK",Europe and Asia,Focus on sustainable materials; developed recycled neoprene wetsuits,No major acquisitions
Matuse,Apparel,Surfing,2006,Not publicly disclosed,Independent,"Matuse is a privately held company founded in 2006 in San Diego, California, by Matthew Larson and John Campbell. ([en.wikipedia.org](https://en.wikipedia.org/wiki/Matuse)) The company specializes in producing high-quality wetsuits and neoprene accessories. ([g5rubber.com](https://www.g5rubber.com/blog/top-10-natural-rubber-wetsuits-manufacturers-178149.html))",Independent,"San Diego, California, USA",USA and Australia,Uses eco-friendly Geoprene; committed to sustainable practices,No major acquisitions
Kuiu,Apparel,Hunting Gear,2011,Not publicly disclosed,Independent,"KUIU, founded in 2011 by Jason Hairston, received a $50 million investment from San Francisco-based Main Post Partners in 2017. ([en.wikipedia.org](https://en.wikipedia.org/wiki/Kuiu)) The current ownership structure beyond this investment is not publicly disclosed.",Independent,"Dixon, California, USA",Global,Direct-to-consumer model; emphasizes high-performance materials,No major acquisitions
Melanzana,Apparel,Outdoor Clothing,1994,Not publicly disclosed,Independent,"Melanzana is a privately owned outdoor clothing company founded in 1994 by Fritz Howard in Leadville, Colorado. As of 2023, the company employs 60 full-time staff, including 20 employee-owners who hold stock and receive annual dividends. ([outdoorindustryjobs.com](https://www.outdoorindustryjobs.com/CompanyProfile/19273))",Independent,"Leadville, Colorado, USA",USA,Hand-sewn products; emphasizes local manufacturing and sustainability,No major acquisitions
Howies,Apparel,Outdoor Clothing,1995,Not publicly disclosed,Independent,"Howies, founded in 1995 by David and Clare Hieatt, was acquired by Timberland in 2006. ([apparelnews.net](https://www.apparelnews.net/news/2006/dec/08/timberland-buys-howies/)) In 2012, the Howies management team repurchased the company, returning it to independent ownership. ([drapersonline.com](https://www.drapersonline.com/news/howies-bought-back-by-management))",Independent,"Carmarthen, Wales, UK",Europe and Asia,Uses natural fabrics; committed to ethical practices,"Previously acquired by Timberland (2006), bought back by management (2012)"
Backcountry.com,ecommerce,Gear,1996,Not publicly disclosed,Private - Private Equity,Owned by TSG Consumer Partners,CSC Generation,"Park City, Utah, USA",Various suppliers,Implements sustainable practices in product sourcing,Acquired by TSG (2015)
Canyon Bicycles,Equipment,Cycling,1985,Not publicly disclosed,Private - Private Equity,Owned by TSG Consumer Partners,Groupe Bruxelles Lambert,"Koblenz, Germany",Germany,Focus on sustainable manufacturing processes,Acquired by TSG (2016)
