Company,Type,Main Sport Focus,Year Founded,Financials,Ownership Status,Ownership Details,Parent Company,Headquarters,Main Manufacturing,Environmental & Sustainability Policies,Acquisition History,,
Mervin Manufacturing (Lib Tech & GNU),Equipment,Snowboarding,1977,,Private,owned by Altamont Capital Partners since 2013 and sold for ~$51M,Altamont Capital Partners,"Carlsborg, Washington, USA​mervin.com",USA (Washington State – “world’s most environMENTAL factory”)​mervin.com,"Builds snowboards domestically with eco-friendly processes – powered by renewable energy and using non-toxic, recycled materials; factory has a reputation as the “world’s most environMENTAL board factory”​mervin.com
. Produces some surf and skate products to ECOBOARD Project standards (Gold Level ECOBOARD certified surfboards using plant-based resin and recycled foam)​cisurfboards.com
.",Was acquired by Quiksilver in 1997​; spun out via management buyout and sold to Altamont Capital in 2013​. (Lib Tech and GNU remain its in-house brands.),,
Channel Islands Surfboards,Equipment,Surfing,1969,,Private - Employee-Owned,founder Al Merrick’s family and team riders bought out Burton’s stake in 2020,,"Carpinteria, California, USA​shop-eat-surf-outdoor.com","Carpinteria, CA (hand-shaped and machine-shaped surfboard factory)​shop-eat-surf-outdoor.com","Implements sustainable board building practices: offers surfboards that meet the ECOBOARD Project benchmarks (using recycled foam cores and plant-based resins); the Santa Barbara factory was audited to produce Gold Level ECOBOARDS​cisurfboards.com
. Also engages in local beach and ocean conservation efforts.","Founded by Al Merrick; acquired by Burton Snowboards in 2006 to scale up production​shop-eat-surf-outdoor.com
; sold back to Channel Islands Surfboards LLC (Britt Merrick and employees) in 2020​shop-eat-surf-outdoor.com
.",,
O’Neill,"Apparel, Accessories",Surfing,1952,,Private,family-founded; O’Neill wetsuit business remains family-owned in Santa Cruz; O’Neill surf apparel brand is owned by Luxembourg-based Sisco Textiles since 2007,,"Santa Cruz, California, USA (wetsuit division)​en.wikipedia.org; Global HQ for apparel in Luxembourg​en.wikipedia.org","Wetsuit production in Asia (e.g. Thailand, Vietnam); apparel outsourced globally","Launched the O’Neill Blue sustainable collection – products with at least 50% preferred sustainable materials (e.g. recycled poly, organic cotton)​eu.oneill.com
. Committed to sourcing 100% sustainable cotton and polyester by 2025​eu.oneill.com
; active in ocean conservation (Jack O’Neill’s Sea Odyssey marine education program).","Jack O’Neill opened the world’s first surf shop and pioneered neoprene wetsuits in 1952​en.wikipedia.org
. In 2007, the O’Neill brand (surfwear) was sold to Sisco Textiles​en.wikipedia.org
, while the O’Neill family retained the wetsuit and North America license operations. No major acquisitions by O’Neill itself.",,
Trek Bicycle Corporation,Equipment,Cycling,1975,">$1 B annual revenue (est.)
​fortune.com",Private - family owned,family-owned by the Burke family,,"Waterloo, Wisconsin, USA​en.wikipedia.org","Predominantly Asia (most bikes made in Taiwan/China)​en.wikipedia.org
; some assembly in USA","Publishes an annual Trek Sustainability Report tracking progress​trekbikes.com
; committed to science-based climate targets (cut Scope 1+2 GHG 68% and Scope 3 by 30% by 2032)​trekbikes.com
; sourcing 100% renewable electricity by 2030​trekbikes.com
; launched bike tire and tube recycling programs at dealers​trekbikes.com
; increasing use of recycled materials in bikes and gear (e.g. recycled plastics in components)​trekbikes.com
.","Grew into one of the world’s largest bike makers through acquisitions: absorbed Gary Fisher Mountain Bikes in 1993​en.wikipedia.org
; acquired Bontrager components (mid-1990s)​en.wikipedia.org
; Klein Bikes (1995)​en.wikipedia.org
; Electra Bicycle Co. (2014). Also launched in-house brands (Diamant, Villiger in Europe in 2003)​en.wikipedia.org
.",,
Specialized Bicycle Components,Equipment,Cycling,1974​,est. ~$1 B revenue,Private - Founder and Manufaturer Owned,"majority-owned by founder Mike Sinyard; ~49% stake owned by Merida, a Taiwan bike manufacturer, since 2001",,"Morgan Hill, California, USA​en.wikipedia.org",Asia (frames and bikes produced by manufacturing partner Merida in Taiwan; global suppliers),"In 2021 Specialized appointed a dedicated sustainability team and set company-wide emissions goals. It is operationalizing sustainability by embedding it into product design and employee goals​peopleforbikes.org
 – e.g. every product team uses tools to assess and reduce environmental impact​peopleforbikes.org
. The brand has increased use of renewable energy and recycled materials in products, and supports cycling advocacy as environmental action.","Sold a minority stake to Merida in 2001 (strengthening its manufacturing and global reach)​en.wikipedia.org
. Has acquired smaller tech firms (e.g. Retül bike-fit systems) to bolster product offerings, but remains independent in brand.",,
Santa Cruz Bicycles,Equipment,,1993,,Private,Subsidiary of Pon Holdings (Dutch conglomerate) since 2015,Pon Holdings,"Santa Cruz, California, USA​bicycleretailer.com",Asia (carbon frames built in Taiwan; bike assembly and R&D in California),"Implementing greener packaging and materials: moved to sustainable packaging for bikes (reducing foam and single-use plastics)​santacruzbicycles.com
. Has a carbon fiber recycling program (collects damaged carbon bike frames to recycle into new material instead of landfills). Parent company Pon also has corporate sustainability initiatives across its bike brands (aiming to reduce emissions and encourage cycling for transportation).","Founded by Rob Roskopp (pro skateboarder) and partners in 1993. Remained independent until Pon Holdings acquired it in 2015​bicycleretailer.com
 (joined a family of brands including Cervélo and Gazelle). Santa Cruz also launched the Juliana women’s MTB brand (2013). No major acquisitions made by Santa Cruz itself.",,
Salomon,Equipment,"Skiing, Hiking, Trail Running",1947,€900 million revenue (2020),Subsidiary of Amer Sports (owned by Anta Sports),,,"Épagny-Metz-Tessy, France",Global,Committed to reducing environmental impact; member of the Sustainable Apparel Coalition,"Acquired by Adidas (1997), sold to Amer Sports (2005)",,
Norrøna,Apparel,"Hiking, Skiing, Snowboarding",1929,Not publicly disclosed,Family-owned,,,"Lysaker, Norway",Europe and Asia,Focus on sustainable materials and ethical production; offers repair services,No major acquisitions,,
Mountain Warehouse,,"Hiking, Camping, Skiing",1997,Not publicly disclosed,Private,,,"London, United Kingdom",Asia,Introduced sustainable product lines; committed to reducing environmental footprint,Acquired Eastern Mountain Sports (2024),,
Mammut Sports Group,,"Climbing, Hiking, Skiing",1862,CHF 253.4 million revenue (2018),Owned by Telemos Capital,,,"Seon, Switzerland",Europe and Asia,Member of the Fair Wear Foundation; aims to eliminate harmful substances by 2025,Acquired by Telemos Capital (2021),,
Rossignol,Equipment,"Skiing, Snowboarding",1907,Not publicly disclosed,Owned by Altor Equity Partners,,,"Saint-Jean-de-Moirans, France","France, Spain, and Asia",Focus on eco-design and sustainable development,Acquired by Altor (2013),,
Head,Equipment,"Skiing, Snowboarding, Tennis",1950,Not publicly disclosed,Publicly traded,,,"Kennelbach, Austria",Europe and Asia,Implements sustainable practices in production,Merged with HTM (1989),,
Giant,Equipment,Cycling,1972,Not publicly disclosed,Publicly traded,,,"Taichung, Taiwan","Taiwan, China, Netherlands",Focus on green manufacturing and reducing carbon footprint,No major acquisitions,,
Rocky Mountain,Equipment,Cycling,1981,Not publicly disclosed,Private,,,"Vancouver, Canada",Canada and Taiwan,Committed to environmental stewardship,No major acquisitions,,
Cannondale,Equipment,Cycling,1971,Not publicly disclosed,Subsidiary of Pon Holdings,,,"Wilton, Connecticut, USA",Taiwan and Vietnam,Focus on sustainable manufacturing processes,Acquired by Pon Holdings (2021),,
Norco,Equipment,Cycling,1964,Not publicly disclosed,Private,,,"Port Coquitlam, Canada",Canada and Asia,Emphasizes sustainable practices and community involvement,No major acquisitions,,
Rip Curl,"Equipment, Apparel",Surfing,1969,Not publicly disclosed,Owned by Kathmandu Holdings,,,"Torquay, Australia",Australia and Asia,Focus on sustainable products and environmental initiatives,Acquired by Kathmandu Holdings (2019),,
Transition Bikes,Equipment,Cycling,2001,Not publicly disclosed,Independent,,,"Bellingham, Washington, USA",Taiwan,Emphasizes sustainable practices; partners with local trail organizations,No major acquisitions,,
Commencal,Equipment,Cycling,2000,Not publicly disclosed,Independent,,,Andorra,Taiwan,Focus on environmental responsibility; offers eco-friendly bike models,No major acquisitions,,
Fox Racing,Equipment,Cycling,1974,Not publicly disclosed,Acquired by Vista Outdoor in 2022,,,"Irvine, California, USA",Global,Implements sustainable practices in product development,Acquired by Vista Outdoor (2022),,
YT Industries,Equipment,Cycling,2006,Not publicly disclosed,Majority stake owned by Ardian since 2021,,,"Hausen, Germany",Taiwan,Committed to sustainability; uses eco-friendly materials,Ardian acquired majority stake (2021),,
Ellsworth Handcrafted Bicycles,Equipment,Cycling,1991,Not publicly disclosed,Independent,,,"Vancouver, Washington, USA",USA,Focus on sustainable manufacturing; offers lifetime warranty on frames,Multiple ownership changes; currently independent,,
Brodie Bicycles,Equipment,Cycling,1986,Not publicly disclosed,Independent,,,"Vancouver, Canada",Taiwan,Emphasizes quality and durability to reduce waste,No major acquisitions,,
Whyte Bikes,Equipment,Cycling,1999,Not publicly disclosed,Independent,,,"Hastings, East Sussex, UK",Taiwan,Focus on sustainable design; uses recyclable packaging,No major acquisitions,,
Turner Suspension Bicycles,Equipment,Cycling,1994,Not publicly disclosed,Independent,,,"Murrieta, California, USA",USA,Committed to environmental responsibility; offers frame recycling program,No major acquisitions,,
ThruDark,Apparel,Outdoor Clothing,2018,£16 million .Est 2023,Independent,,,"Poole, Dorset, UK","Italy, Vietnam, Eastern Europe","Utilizes durable, high-performance materials; committed to sustainability",No major acquisitions,,
Finisterre,Apparel,Surfing,2003,Not publicly disclosed,Independent,,,"St Agnes, Cornwall, UK",Europe and Asia,Focus on sustainable materials; developed recycled neoprene wetsuits,No major acquisitions,,
Matuse,Apparel,Surfing,2006,Not publicly disclosed,Independent,,,"San Diego, California, USA",USA and Australia,Uses eco-friendly Geoprene; committed to sustainable practices,No major acquisitions,,
Kuiu,Apparel,Hunting Gear,2011,Not publicly disclosed,Independent,,,"Dixon, California, USA",Global,Direct-to-consumer model; emphasizes high-performance materials,No major acquisitions,,
Melanzana,Apparel,Outdoor Clothing,1994,Not publicly disclosed,Independent,,,"Leadville, Colorado, USA",USA,Hand-sewn products; emphasizes local manufacturing and sustainability,No major acquisitions,,
Howies,Apparel,Outdoor Clothing,1995,Not publicly disclosed,Independent,,,"Carmarthen, Wales, UK",Europe and Asia,Uses natural fabrics; committed to ethical practices,"Previously acquired by Timberland (2006), bought back by management (2012)",,
Backcountry.com,ecommerce,Gear,1996,Not publicly disclosed,Private - Private Equity,Owned by TSG Consumer Partners,,"Park City, Utah, USA",Various suppliers,Implements sustainable practices in product sourcing,Acquired by TSG (2015),,
Canyon Bicycles,Equipment,Cycling,1985,Not publicly disclosed,Private - Private Equity,Owned by TSG Consumer Partners,,"Koblenz, Germany",Germany,Focus on sustainable manufacturing processes,Acquired by TSG (2016),,
Adventure Ready Brands,"Equipment, Accessories",Outdoor Safety and Preparedness Products,1973,Not publicly disclosed,Private - Private Equity,Owned by Victor Capital Partners,,"Littleton, New Hampshire, USA",USA,Committed to sustainability in product development,Acquired by Victor Capital (2019),,
PrimaLoft,Apparel,Synthetic Insulation and Fabrics,1983,Not publicly disclosed,Private - Private Equity,Owned by Victor Capital Partners,,"Latham, New York, USA",USA,Focus on eco-friendly materials; developed biodegradable insulation,Acquired by Victor Capital (2017),,
5.11 Tactical,Equipment,Hunting Gear,2003,Not publicly disclosed,Private - Private Equity,Owned by Compass Diversified Holdings,,"Irvine, California, USA",Global,Implements sustainable practices in product development,Acquired by CODI (2016),,
Velocity Outdoor,Equipment,Hunting Gear,1923,Not publicly disclosed,Private - Private Equity,Owned by Compass Diversified Holdings,,"Bloomfield, New York, USA",USA,Focus on environmental responsibility in manufacturing,Acquired by CODI (2017),,
CamelBak,Accessories,Hydration Products,1989,Not publicly disclosed,Private - Private Equity,Owned by Vista Outdoor,,"Petaluma, California, USA",Global,Committed to reducing environmental impact through product design,Acquired by Vista Outdoor (2015),,
Bushnell,Accessories,Outdoor Accessories,1948,Not publicly disclosed,Private - Private Equity,Owned by Vista Outdoor,,"Overland Park, Kansas, USA",Global,Implements sustainable practices in manufacturing,Acquired by Vista Outdoor (2013),,
Vuori,,Sportswear,2015,Not publicly disclosed,,,,,,,,,
Prana,,Yoga,1992,Not publicly disclosed,,,,,,,,,
Stio ,,Skiing,2011,Not publicly disclosed,Private - Venture Backed,Stio has raised $42.6M in funding from Sandbridge Capital and LAGO,,"Jackson Hole, Wyoming",,,,,
Smith Optics,,"Skiing, Cycling",1965,,Public - Subsidiary,Subsidiary of Safilo Group,,,,,,,
Yeti,,"Hunting, Camping",,,,,,,,,,,
GSI Outdoors,,Camping,,,,,,,,,,,
Snowpeak,,Camping,,,,,,,,,,,
Giro,,Cycling,,,Owned by Vista Outdoors,,,,,,,,
Bell,,Cycling,,,Owned by Vista Outdoors,,,,,,,,
Aardwolf Gear Company,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Aarn Packs,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Adotec,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Adventure Medical Kits,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
After Bite,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
allmansright,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Aloe Up,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Alpen Fuel,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Alpha Pak,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Alpenglow Gear,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Alpine Fit,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Alpine Gremlins,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Alt Route Meals,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Amäzi Foods,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
ANDA Ultralight,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Apex Giant,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Arms of Andes,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Atom Packs,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Atwood Rope,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
BearVault,,Camping,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Beaver Tail Outdoors,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
BeenCampin,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Ben's Tick and Insect Repellent,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Big Agnes,,Camping,2001,Not Available,Privately held,,,"Steamboat Springs, Colorado, USA",Asia (multiple factories),"Sustainability-focused (reducing packaging, etc.)",None,,
Big Sky International,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Black Coffee Roasting Co.,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Black Diamond,,Climbing,1989,Acquired for $90 M in 2010,Public (Clarus Corp),,,"Salt Lake City, Utah, USA",USA & China (facilities in Utah & Zhuhai)&#8203;:contentReference[oaicite:10]{index=10},Environmental commitment (advocacy and impact reduction)&#8203;:contentReference[oaicite:11]{index=11},Acquired Bibler (1997) & Ascension (1999)&#8203;:contentReference[oaicite:12]{index=12}; acquired by Clarus in 2010&#8203;:contentReference[oaicite:13]{index=13},,
Bogler,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Bonfus,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Borvo Broth,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Bowl & Kettle,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Brautigam Expedition Works,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Brunton,,Mountaineering,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Brynje,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Canyon Crack,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Carlson Roasting Co.,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Cascadia Coffee Roasters,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Chicken Tramper Gear,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
CNOC Outdoors,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
COBA,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Cold Case Gear,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
COROS,,Mountaineering,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
CuloClean,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Cusa Tea & Coffee,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Dangle Supply,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Darn Tough,,Hiking,2004,$50 M revenue (2016)&#8203;:contentReference[oaicite:15]{index=15},Privately held (family-owned)&#8203;:contentReference[oaicite:16]{index=16},,,"Northfield, Vermont, USA&#8203;:contentReference[oaicite:17]{index=17}","Northfield, Vermont, USA&#8203;:contentReference[oaicite:18]{index=18}","Lifetime guarantee, durable socks&#8203;:contentReference[oaicite:19]{index=19}",None,,
DeliciOats,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
éclipse Sun Products,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
El Coyote Quilts,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Embark,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Enlightened Equipment,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Etowah Outfitters,,Camping,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Evolved Supply Co.,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
EXPED,,Camping,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Farm to Summit,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
FarPointe Outdoor Gear,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
First Ascent Coffee Roasters,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
FLEXTAIL,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
FlipFuel,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Flowfold,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Foot Kinetics,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Fozzils,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
FRACTEL,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Frogg Toggs,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Fulton,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Garmin,,Biking,1989,$5.23 B revenue (2023)&#8203;:contentReference[oaicite:21]{index=21},Public,(NASDAQ: GRMN),,"Olathe, Kansas, USA&#8203;:contentReference[oaicite:23]{index=23}",Taiwan (90% of production)&#8203;:contentReference[oaicite:24]{index=24},Corporate sustainability initiatives (emissions tracking),"Multiple (e.g., Navigon 2011&#8203;:contentReference[oaicite:25]{index=25}, DeLorme 2016&#8203;:contentReference[oaicite:26]{index=26}, Navionics 2017&#8203;:contentReference[oaicite:27]{index=27})",,
Gear Aid,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Glacial Gear,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Gnara,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Good Detour,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Good To-Go,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Goosefeet Gear,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Gossamer Gear,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Grangers,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
GRAYL,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Greenbelly Meals,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Hammock Gear,,Camping,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Hartford Gear Co.,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Hawbuck Wallets,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
